timeStamp,Price,Open,High,Low,Vol.,Change %
7-Jul-15,"6,967.78","6,991.71","6,998.43","6,966.81",17.06M,-0.31%
6-Jul-15,"6,989.41","7,010.51","7,024.67","6,989.31",19.00M,-0.25%
3-Jul-15,"7,007.05","6,982.96","7,016.57","6,982.72",96.71M,0.35%
2-Jul-15,"6,982.80","7,018.27","7,020.86","6,982.80",19.30M,-0.54%
30-Jun-15,"7,020.80","7,032.95","7,035.01","7,012.12",22.17M,-0.16%
29-Jun-15,"7,032.15","7,024.06","7,043.20","7,016.20",20.18M,0.23%
26-Jun-15,"7,016.20","7,031.05","7,035.31","7,015.87",25.58M,-0.22%
25-Jun-15,"7,031.33","7,054.78","7,058.02","7,031.33",17.50M,-0.32%
24-Jun-15,"7,053.83","7,054.59","7,072.85","7,045.56",24.69M,0.00%
23-Jun-15,"7,053.96","7,040.76","7,066.89","7,039.65",47.13M,0.20%
22-Jun-15,"7,039.65","7,037.04","7,052.47","7,026.65",24.26M,0.06%
19-Jun-15,"7,035.15","7,065.94","7,068.65","7,032.85",30.03M,-0.41%
18-Jun-15,"7,064.15","7,051.47","7,065.93","7,048.18",41.13M,0.20%
17-Jun-15,"7,049.71","7,045.36","7,069.41","7,035.81",181.18M,0.07%
16-Jun-15,"7,044.60","7,081.07","7,088.22","7,042.87",19.84M,-0.49%
15-Jun-15,"7,078.97","7,071.76","7,086.84","7,061.28",23.02M,0.25%
